leitura_id,janela,temp_interna_c,temp_externa_c,integridade_estrutural,nivel_energia_pct,pressao_tanque_bar,mod_propulsao,mod_navegacao,mod_suporte_vida,mod_comunicacao
L001,T-20min,23.5,-81.5,1,89.6,197.8,OK,OK,OK,OK
L002,T-19min,24.2,9.7,1,97.6,194.3,OK,OK,OK,OK
L003,T-18min,22.0,-80.8,1,88.8,205.1,OK,OK,OK,OK
L004,T-17min,19.2,-57.2,1,94.4,206.2,OK,OK,OK,OK
L005,T-16min,20.5,-2.5,1,96.5,192.2,OK,OK,OK,OK
L006,T-15min,24.6,12.7,1,90.4,196.0,OK,OK,OK,OK
L007,T-14min,25.7,-37.9,1,87.2,194.5,OK,OK,OK,OK
L008,T-13min,24.9,-0.5,1,96.5,211.0,OK,OK,OK,OK
L009,T-12min,22.8,51.2,1,72.4,206.4,OK,OK,OK,OK
L010,T-11min,24.8,1.6,0,97.2,207.0,OK,OK,OK,OK
L011,T-10min,31.8,-78.6,1,89.0,199.5,OK,OK,OK,OK
L012,T-9min,19.6,-52.4,1,87.3,176.0,OK,OK,OK,OK
L013,T-8min,23.4,-33.9,1,90.8,234.0,OK,OK,OK,OK
L014,T-7min,20.9,46.1,1,94.4,207.8,FALHA,OK,OK,OK
L015,T-6min,20.2,17.1,1,88.1,201.9,OK,OK,FALHA,OK
L016,T-5min,29.5,78.0,1,93.2,209.8,OK,OK,OK,OK
L017,T-4min,24.9,23.6,1,80.0,192.8,OK,OK,OK,FALHA
L018,T-3min,21.2,-47.5,1,85.0,216.5,OK,OK,OK,OK
L019,T-2min,25.1,-40.9,1,94.5,190.0,OK,OK,OK,OK
L020,T-1min,27.0,-20.8,1,89.4,220.0,OK,OK,OK,OK
